title,author,publisher,pubdate,isbn,link
"혼자 만들면서 공부하는 파이썬 (37개 라이브러리와 API로 보고서, 차트, 게임, 맵, AI 챗봇 만들기|저자 직강 유튜브 강의, 오픈 채팅 제공)",문현일,한빛미디어,20250214,9791169213271,https://search.shopping.naver.com/book/catalog/52859338841
혼자 공부하는 파이썬 (1:1 과외하듯 배우는 프로그래밍 자습서),윤인성,한빛미디어,20220601,9791162245651,https://search.shopping.naver.com/book/catalog/32507605957
Do it! 점프 투 파이썬 (중학생도 첫날부터 실습하는 초고속 입문서),박응용,이지스퍼블리싱,20230615,9791163034735,https://search.shopping.naver.com/book/catalog/40354085633
밑바닥부터 시작하는 딥러닝 1(리마스터판) (파이썬으로 익히는 딥러닝 이론과 구현),사이토 고키,한빛미디어,20250124,9791169213387,https://search.shopping.naver.com/book/catalog/52615553184
파이썬,홍의경,생능출판,20220309,9788970506784,https://search.shopping.naver.com/book/catalog/32460987987
CODING BASICS PYTHON (파이썬),김상민^장성식^김일태,렉스미디어닷넷,20220210,9788959604210,https://search.shopping.naver.com/book/catalog/32440944646
파이썬 (제2판),염기원^오지영,북두,20220120,9791166750991,https://search.shopping.naver.com/book/catalog/32436240934
파이썬,천인국,인피니티북스,20170830,9791185578330,https://search.shopping.naver.com/book/catalog/32489150082
파이썬 (비전공자를위한 파이썬 기초 입문서),김명호,에듀웨이,20190525,9791186179369,https://search.shopping.naver.com/book/catalog/32436003648
파이썬,염기원,복두출판사,20200820,9791159069048,https://search.shopping.naver.com/book/catalog/32490271648
파이썬,김영천,기한재,20200225,9788970187990,https://search.shopping.naver.com/book/catalog/32438172833
파이썬,서정원^김태령,생능출판,20190228,9788970509723,https://search.shopping.naver.com/book/catalog/32505098970
파이썬 (다양한 예제로 알로리즘 쉽게 분석하기),김유진,다본,20190410,9791188577255,https://search.shopping.naver.com/book/catalog/32441765959
파이썬,Y. Daniel Liang,에피스테메,20180302,9788920028892,https://search.shopping.naver.com/book/catalog/32441653441
파이썬,Y. Daniel Liang,생능출판,20160205,9788970508504,https://search.shopping.naver.com/book/catalog/32504743740
파이썬 머신러닝 완벽 가이드 (다양한 캐글 예제와 함께 기초 알고리즘부터 최신 기법까지 배우는),권철민,위키북스,20220421,9791158393229,https://search.shopping.naver.com/book/catalog/32485894885
내공의 파이썬 (한 권으로 끝내는 초보자용 코딩 입문서),한선관,자유아카데미,20250315,9791158087005,https://search.shopping.naver.com/book/catalog/53550577590
독학 파이썬,야마다 요시히로,정보문화사,20241220,9788956749891,https://search.shopping.naver.com/book/catalog/51981118640
파이썬 마스터 (실생활 융합 예제로 배우는),김종훈^김동건,한빛아카데미,20250117,9791173400018,https://search.shopping.naver.com/book/catalog/52509305501
파이썬 워크북,안기수,생능출판,20250115,9791192932682,https://search.shopping.naver.com/book/catalog/52417646624
코딩 자율학습 나도코딩의 파이썬 입문 (초보자 눈높이에 맞춘 친절한 프로그래밍 자습서),나도코딩,길벗,20230220,9791140703302,https://search.shopping.naver.com/book/catalog/37828235624
파이썬 3 (프로그래밍을 배우기에 가장 재미있는 언어),박상현,한빛미디어,20160210,9788968482359,https://search.shopping.naver.com/book/catalog/32485534946
파이썬 + AI (코드조각과 실행화면으로 배우는 코딩),안용제^김남규,디지털북스,20240715,9788960884571,https://search.shopping.naver.com/book/catalog/48703888619
으뜸 파이썬 (개정판),박동규^강영민,생능출판,20240614,9791192932675,https://search.shopping.naver.com/book/catalog/48359296619
파이썬 프로그래밍 (기초부터 딥러닝까지),허준,성안당,20250312,9788931575767,https://search.shopping.naver.com/book/catalog/53415634237
이지파이썬 1 (그림과 스토리텔링으로 이해하는 쉽고 재미있는 파이썬),한국인공지능아카데미,클라우드북스,20240901,9788997793273,https://search.shopping.naver.com/book/catalog/49922621623
이지파이썬 2 (그림과 스토리텔링으로 이해하는 쉽고 재미있는 파이썬),한국인공지능아카데미,클라우드북스,20240901,9788997793280,https://search.shopping.naver.com/book/catalog/49926240618
이지파이썬 1 (그림과 스토리텔링으로 이해하는 쉽고 재미있는 파이썬),한국인공지능아카데미,클라우드북스,20240901,9788997793266,https://search.shopping.naver.com/book/catalog/49922615621
파이썬 플러스,최희식,인피니티북스,20240731,9791192373362,https://search.shopping.naver.com/book/catalog/49800327644
엑셀X파이썬 (엑셀이 파이썬을 품었다),정성일,길벗,20240730,9791140710195,https://search.shopping.naver.com/book/catalog/49255941621
